@file	seqno	phase	temp	temp_err	spec_disp	spec_disp_err	abs	abs_err	csL	csL_err	csG	csG_err	strL	strL_err	strG	strG_err	Ti_beq	Ti_beq_err	O_beq	O_beq_err	a_del	a_del_err	c_del	c_del_err	a	a_err	b	b_err	c	c_err	al	al_err	be	be_err	ga	ga_err	cellVol	cellVol_err	cellMass	cellMass_err	Lvol	Lvol_err	e0	e0_err	density	density_err	LAC	LAC_err	scale	scale_err	wtpct	wtpct_err	RBragg	RBragg_err	Rwp	Rwp_err	Rexp	Rexp_err	gof	gof_err
degussa.raw	11	Anatase	773.000000000	0.000000000	0.228790210	0.011895394	17.305296807	5.903196419	40.859448316	2.431958415	51.249303840	4.115048147	0.228991500	0.038815580	-1.000000000	0.000000000	1.066411138	0.068349369	1.648938718	0.147454403	0.011410978	0.000861332	0.041966013	0.002281909	3.795610978	0.000861332	3.795610978	0.000861332	9.556566013	0.002281909	90.000000000	0.000000000	90.000000000	0.000000000	90.000000000	0.000000000	137.678223058	0.070606507	319.463200000	0.000000000	20.052817865	0.958839196	0.000499313	0.000084637	3.853052968	0.001975980	478.703012304	0.245495620	0.000396736	0.000003777	87.074934122	0.386106009	2.712648361	0.000000000	17.899274299	0.000000000	16.400648034	0.000000000	1.091376040	0.000000000
degussa.raw	11	Rutile	773.000000000	0.000000000	0.228790210	0.011895394	17.305296807	5.903196419	35.752010918	2.446233931	-1.000000000	0.000000000	-1.000000000	0.000000000	-1.000000000	0.000000000	1.066411138	0.068349369	1.648938718	0.147454403	0.020534090	0.001231855	0.016510038	0.001198570	4.612934090	0.001231855	4.612934090	0.001231855	2.974010038	0.001198570	90.000000000	0.000000000	90.000000000	0.000000000	90.000000000	0.000000000	63.284438159	0.042342493	159.731600000	0.000000000	22.760437052	1.557320888	-1.000000000	0.000000000	4.191247497	0.002804278	520.720275185	0.348403293	0.000256236	0.000008448	12.925065878	0.386106009	3.628537026	0.000000000	17.899274299	0.000000000	16.400648034	0.000000000	1.091376040	0.000000000
degussa.raw	12	Anatase	823.000000000	0.000000000	0.248408509	0.012616828	21.101029035	9.301927230	39.644013143	2.343113027	51.492851230	4.013702194	0.208649424	0.039477090	-1.000000000	0.000000000	1.069685728	0.069492045	1.714487338	0.148268075	0.012893231	0.000901046	0.052769661	0.002393969	3.797093231	0.000901046	3.797093231	0.000901046	9.567369661	0.002393969	90.000000000	0.000000000	90.000000000	0.000000000	90.000000000	0.000000000	137.941541698	0.074008521	319.463200000	0.000000000	19.694667529	0.928553550	0.000454957	0.000086079	3.845697819	0.002063288	477.789209077	0.256342786	0.000390680	0.000003751	86.434178922	0.389498722	2.485373596	0.000000000	17.904823281	0.000000000	16.435594159	0.000000000	1.089393125	0.000000000
degussa.raw	12	Rutile	823.000000000	0.000000000	0.248408509	0.012616828	21.101029035	9.301927230	34.960592981	2.221993282	-1.000000000	0.000000000	-1.000000000	0.000000000	-1.000000000	0.000000000	1.069685728	0.069492045	1.714487338	0.148268075	0.022685686	0.001278016	0.017258370	0.001185640	4.615085686	0.001278016	4.615085686	0.001278016	2.974758370	0.001185640	90.000000000	0.000000000	90.000000000	0.000000000	90.000000000	0.000000000	63.359425792	0.043233157	159.731600000	0.000000000	22.256604746	1.414564857	-1.000000000	0.000000000	4.186287039	0.002856492	520.103988336	0.354890328	0.000266991	0.000008493	13.565821078	0.389498722	3.734360485	0.000000000	17.904823281	0.000000000	16.435594159	0.000000000	1.089393125	0.000000000
degussa.raw	13	Anatase	873.000000000	0.000000000	0.268163143	0.012904397	23.969479597	12.835617394	38.508292327	2.140701287	55.800319952	5.087778715	0.200862281	0.037299030	-1.000000000	0.000000000	1.167302131	0.069962256	1.815796298	0.150162048	0.013868325	0.000984949	0.058642723	0.002570802	3.798068325	0.000984949	3.798068325	0.000984949	9.573242723	0.002570802	90.000000000	0.000000000	90.000000000	0.000000000	90.000000000	0.000000000	138.097118486	0.080656358	319.463200000	0.000000000	19.820385206	0.943584743	0.000437977	0.000081330	3.841365351	0.002243560	477.250943605	0.278739737	0.000391554	0.000003788	85.531173508	0.389729248	2.379176739	0.000000000	18.121804002	0.000000000	16.440957750	0.000000000	1.102235300	0.000000000
degussa.raw	13	Rutile	873.000000000	0.000000000	0.268163143	0.012904397	23.969479597	12.835617394	36.711269662	2.311231725	-1.000000000	0.000000000	-1.000000000	0.000000000	-1.000000000	0.000000000	1.167302131	0.069962256	1.815796298	0.150162048	0.025184920	0.001311401	0.019687423	0.001158207	4.617584920	0.001311401	4.617584920	0.001311401	2.977187423	0.001158207	90.000000000	0.000000000	90.000000000	0.000000000	90.000000000	0.000000000	63.479859647	0.043703030	159.731600000	0.000000000	23.371120135	1.471375815	-1.000000000	0.000000000	4.178344824	0.002876591	519.117248159	0.357387452	0.000288190	0.000008639	14.468826492	0.389729248	3.801267498	0.000000000	18.121804002	0.000000000	16.440957750	0.000000000	1.102235300	0.000000000
degussa.raw	14	Anatase	923.000000000	0.000000000	0.276729835	0.012199245	27.825026860	15.608735521	37.806511585	2.050066190	63.003084241	6.666674425	0.193044586	0.036090982	-1.000000000	0.000000000	1.058316738	0.069114455	1.705143784	0.149408150	0.014922157	0.000885618	0.064643267	0.002348540	3.799122157	0.000885618	3.799122157	0.000885618	9.579243267	0.002348540	90.000000000	0.000000000	90.000000000	0.000000000	90.000000000	0.000000000	138.260371187	0.072829484	319.463200000	0.000000000	20.243621217	0.985101939	0.000420931	0.000078696	3.836829610	0.002021064	476.687423451	0.251096881	0.000366238	0.000003602	83.455861735	0.379904860	2.194552619	0.000000000	17.956934656	0.000000000	16.487437731	0.000000000	1.089128277	0.000000000
degussa.raw	14	Rutile	923.000000000	0.000000000	0.276729835	0.012199245	27.825026860	15.608735521	44.883305304	2.628559693	-1.000000000	0.000000000	-1.000000000	0.000000000	-1.000000000	0.000000000	1.058316738	0.069114455	1.705143784	0.149408150	0.025948728	0.001128374	0.022107625	0.000943539	4.618348728	0.001128374	4.618348728	0.001128374	2.979607625	0.000943539	90.000000000	0.000000000	90.000000000	0.000000000	90.000000000	0.000000000	63.552482978	0.037005590	159.731600000	0.000000000	28.573599606	1.673393074	-1.000000000	0.000000000	4.173570104	0.002430193	518.524037290	0.301926995	0.000315897	0.000008121	16.544138265	0.379904860	3.162810221	0.000000000	17.956934656	0.000000000	16.487437731	0.000000000	1.089128277	0.000000000
degussa.raw	15	Anatase	973.000000000	0.000000000	0.283191376	0.010014887	31.367552908	14.867345260	45.037575732	2.753938579	75.436862795	9.162038426	0.234525945	0.034453488	-1.000000000	0.000000000	1.236532056	0.069040271	1.864022207	0.149973477	0.016311784	0.000688253	0.071276294	0.001855489	3.800511784	0.000688253	3.800511784	0.000688253	9.585876294	0.001855489	90.000000000	0.000000000	90.000000000	0.000000000	90.000000000	0.000000000	138.457341052	0.056860106	319.463200000	0.000000000	24.147484637	1.332036055	0.000511380	0.000075125	3.831371323	0.001573418	476.009286369	0.195481302	0.000339676	0.000003395	76.164882951	0.391729229	2.961189280	0.000000000	17.991722539	0.000000000	16.520721479	0.000000000	1.089039759	0.000000000
degussa.raw	15	Rutile	973.000000000	0.000000000	0.283191376	0.010014887	31.367552908	14.867345260	50.977845805	2.309599920	-1.000000000	0.000000000	-1.000000000	0.000000000	-1.000000000	0.000000000	1.236532056	0.069040271	1.864022207	0.149973477	0.029110798	0.000837295	0.022918084	0.000664522	4.621510798	0.000837295	4.621510798	0.000837295	2.980418084	0.000664522	90.000000000	0.000000000	90.000000000	0.000000000	90.000000000	0.000000000	63.656848519	0.027082831	159.731600000	0.000000000	32.453504592	1.470336975	-1.000000000	0.000000000	4.166727527	0.001772729	517.673916007	0.220243673	0.000462411	0.000008851	23.835117049	0.391729229	3.659262165	0.000000000	17.991722539	0.000000000	16.520721479	0.000000000	1.089039759	0.000000000
degussa.raw	16	Anatase	1023.000000000	0.000000000	0.250376639	0.007188365	41.487661370	14.462888381	61.095515595	5.556714613	71.727144211	7.930630229	0.291251978	0.036544638	-1.000000000	0.000000000	1.327435536	0.067789565	1.447360886	0.142803108	0.017400829	0.000439506	0.080063121	0.001367048	3.801600829	0.000439506	3.801600829	0.000439506	9.594663121	0.001367048	90.000000000	0.000000000	90.000000000	0.000000000	90.000000000	0.000000000	138.663691609	0.037660447	319.463200000	0.000000000	29.267346410	2.058704936	0.000635071	0.000079685	3.825669718	0.001039031	475.300919383	0.129089105	0.000239962	0.000002787	55.945570822	0.433885259	4.123706807	0.000000000	18.337304606	0.000000000	16.674211301	0.000000000	1.099740448	0.000000000
degussa.raw	16	Rutile	1023.000000000	0.000000000	0.250376639	0.007188365	41.487661370	14.462888381	67.081041065	2.049637521	-1.000000000	0.000000000	-1.000000000	0.000000000	-1.000000000	0.000000000	1.327435536	0.067789565	1.447360886	0.142803108	0.030594641	0.000459406	0.024914028	0.000349057	4.622994641	0.000459406	4.622994641	0.000459406	2.982414028	0.000349057	90.000000000	0.000000000	90.000000000	0.000000000	90.000000000	0.000000000	63.740389553	0.014701668	159.731600000	0.000000000	42.705117093	1.304839772	-1.000000000	0.000000000	4.161266426	0.000959789	516.995429181	0.119244081	0.000822138	0.000010901	44.054429178	0.433885259	4.245315744	0.000000000	18.337304606	0.000000000	16.674211301	0.000000000	1.099740448	0.000000000
degussa.raw	17	Anatase	1073.000000000	0.000000000	0.196982219	0.005072910	42.558392845	8.537794399	184.480221882	113.066005766	135.476321082	83.161840961	0.591714625	0.089628831	-1.000000000	0.000000000	1.328640710	0.061522961	1.184848314	0.123908478	0.017842817	0.000535308	0.085114374	0.002825596	3.802042817	0.000535308	3.802042817	0.000535308	9.599714374	0.002825596	90.000000000	0.000000000	90.000000000	0.000000000	90.000000000	0.000000000	138.768955115	0.056526817	319.463200000	0.000000000	71.417702514	31.024091826	0.001290225	0.000195434	3.822767748	0.001557180	474.940378789	0.193463920	0.000070662	0.000001814	18.513497771	0.418124246	5.075717951	0.000000000	19.113311919	0.000000000	17.035489542	0.000000000	1.121970218	0.000000000
degussa.raw	17	Rutile	1073.000000000	0.000000000	0.196982219	0.005072910	42.558392845	8.537794399	84.510507770	2.037631438	-1.000000000	0.000000000	-1.000000000	0.000000000	-1.000000000	0.000000000	1.328640710	0.061522961	1.184848314	0.123908478	0.031547808	0.000251468	0.026192079	0.000188072	4.623947808	0.000251468	4.623947808	0.000251468	2.983692079	0.000188072	90.000000000	0.000000000	90.000000000	0.000000000	90.000000000	0.000000000	63.794002088	0.008019705	159.731600000	0.000000000	53.801060219	1.297196462	-1.000000000	0.000000000	4.157769294	0.000522682	516.560945774	0.064937916	0.001353089	0.000014225	81.486502229	0.418124246	2.618738092	0.000000000	19.113311919	0.000000000	17.035489542	0.000000000	1.121970218	0.000000000
degussa.raw	18	Anatase	1123.000000000	0.000000000	0.209877784	0.004385907	44.639799088	7.403946192	347.805957721	2385.156228162	477.825621196	12621.410139997	0.599870541	0.571692632	-1.000000000	0.000000000	1.510340028	0.061303959	1.247183042	0.118575548	0.017105688	0.002636668	0.088302878	0.018568638	3.801305688	0.002636668	3.801305688	0.002636668	9.602902878	0.018568638	90.000000000	0.000000000	90.000000000	0.000000000	90.000000000	0.000000000	138.761225756	0.330223902	319.463200000	0.000000000	176.042807035	1711.341146926	0.001308009	0.001246568	3.822980686	0.009097905	474.966834198	1.130323058	0.000008013	0.000001401	2.300686604	0.393688839	4.807143452	0.000000000	19.452836175	0.000000000	17.270694116	0.000000000	1.126349413	0.000000000
degussa.raw	18	Rutile	1123.000000000	0.000000000	0.209877784	0.004385907	44.639799088	7.403946192	96.312253153	2.194580029	-1.000000000	0.000000000	-1.000000000	0.000000000	-1.000000000	0.000000000	1.510340028	0.061303959	1.247183042	0.118575548	0.033466233	0.000202756	0.028097765	0.000154794	4.625866233	0.000202756	4.625866233	0.000202756	2.985597765	0.000154794	90.000000000	0.000000000	90.000000000	0.000000000	90.000000000	0.000000000	63.887726981	0.006506738	159.731600000	0.000000000	61.314284678	1.397113039	-1.000000000	0.000000000	4.151669742	0.000422831	515.803137949	0.052532502	0.001478185	0.000014842	97.699313396	0.393688839	2.635721605	0.000000000	19.452836175	0.000000000	17.270694116	0.000000000	1.126349413	0.000000000
